LEVEL 0
LEVEL 228
LEVEL 417
	0    100  0.0
LEVEL 1058
	228  100  0.0
LEVEL 1759
	417  98.0 0.1
	1058 2.03 0.06
LEVEL 1851
	228  99.3  .2
	417  .67   .09
LEVEL 2069
	1851	.6	.3
	2070	61	3
	2365	1.8	.6
	2545	1.0	.3
	3160	3.5	.3
LEVEL 4480
	1058	5.2	.5
	1851	34	1
	2072	44	1
	2740	16.3	.6
LEVEL 4548
	228	.57	.05
	417	33	1
	1058	48	1
	1759	7.0	.2
	1851	.08	.03
	2072	1.30	.06
	2365	3.3	.1
	2545	5.3	.2
	2661	.20	.05
	2740	.71	.05
	2913	.48	.04
	3681	.22	.03
LEVEL 4599
	417	25.3	.8
	1759	47.7	.9
	2069	2.6	.1
	2365	2.6	.1
	2545	5.0	.2
	2661	6.6	.3
	2913	3.4	.2
	3074	1.0	.1
	3675	3.1	.2
	3681	.79	.05
	3751	1.8	.2
LEVEL 4622
	417	11.5	.8
	1058	1.5	.3
	1851	9.1	.7
	2072	18.3	.8
	2365	1.2	.3
	2545	2.1	.6
	2661	19.2	.5
	2740	32	1
	3074	4.5	.4
	3160	1.1	.2
LEVEL 4705
	0	57	1
	417	0.3	.1
	2069	0.6	.1
	2365	25.5	.8
	2545	15.9	.5
	3074	0.6	.2
	3681	0.5	.2	
LEVEL 4773
	0	12.1	0.5
	417	30	1.0
	1759	0.4	0.1
	2069	3.0	0.3
	2365	8.1	0.3
	2545	5.4	0.2
	2661	26	1.0
	2913	5.8	0.2
	3074	3.5	0.2
	3403	0.6	0.2
	3596	0.26	.04
	3675	0.12	.03
	3681	0.38	.03
	4192	4.1	.3
LEVEL 4940
	228	80	1
	1058	1.2	.4
	1759	0.5	.2
	1851	0.8	.3
	2070	4.91	.02
	2072	5.71	.02
	2661	0.8	.2
	2740	0.5	.3
	3160	1.0	.3
	3754	4.2	.2
LEVEL 4941
	0	1.1	.2
	417	54	1
	2069	.7	.2
	2365	20.6	.6
	2545	21.5	.8
	3074	.25	.08
	3508	1.8	.1
	3675	0.3	.1
LEVEL 4952
	417	9.4	.3
	1058	1.9	.2
	1851	2.6	.2
	2070	25.1	.8
	2545	.6	.2
	2740	1.0	.1
	2913	.9	.1
	3160	57	1
	4192	1.3	.2
LEVEL 5007
	1058	19	1
	1759	7	1
	1851	1.9	.8
	2070	65	2
	2661	2.3	.6
